   19   14   33 -20492.66211   8360.402
   18   15   33 -26337.48633   8513.811
   17   16   33 -26585.99414   8497.634
   16   17   33 -21003.43164   8304.758
   15   18   33  -9384.14063   7928.950
   20   14   34 -19956.76953   8336.138
   19   15   34 -24557.66992   8448.449
   18   16   34 -29931.78711   8583.501
   17   17   34 -24439.77539   8398.961
   16   18   34 -18377.21680   8197.640
   21   14   35 -14360.30664   8168.673
   20   15   35 -24857.74023   8446.247
   19   16   35 -28846.35547   8537.855
   18   17   35 -29013.53906   8520.278
   17   18   35 -23047.41016   8327.465
   16   19   35 -11168.90039   7965.726
   21   15   36 -20250.97656   8307.866
   20   16   36 -30664.07422   8575.387
   19   17   36 -29521.85742   8521.927
   18   18   36 -30231.53906   8519.909
   17   19   36 -17426.17188   8142.472
   16   20   36  -6439.35889   7815.551
   22   15   37 -18994.14453   8267.505
   21   16   37 -26896.35938   8459.934
   20   17   37 -31761.53125   8570.280
   19   18   37 -30947.65820   8527.139
   18   19   37 -24800.19922   8339.847
   17   20   37 -13161.75977   8004.150
   22   16   38 -26861.19727   8448.782
   21   17   38 -29798.09766   8505.480
   20   18   38 -34714.55078   8614.273
   19   19   38 -28800.69141   8438.057
   18   20   38 -22059.22070   8240.062
   23   16   39 -23162.24414   8344.258
   22   17   39 -29800.20313   8494.402
   21   18   39 -33242.01172   8562.593
   20   19   39 -33807.01172   8557.020
   19   20   39 -27274.40039   8369.457
   18   21   39 -14168.02148   8013.336
   23   17   40 -27557.81055   8427.765
   22   18   40 -35039.89453   8595.259
   21   19   40 -33535.20313   8538.083
   20   20   40 -34846.27344   8551.301
   19   21   40 -20523.22852   8173.666
   24   17   41 -27307.18945   8412.958
   23   18   41 -33067.46875   8534.371
   22   19   41 -35559.07422   8576.061
   21   20   41 -35137.75781   8546.703
   20   21   41 -28642.39258   8369.198
   24   18   42 -34422.67578   8555.613
   23   19   42 -35021.55469   8551.245
   22   20   42 -38547.07031   8616.559
   21   21   42 -32121.23828   8444.935
   20   22   42 -25121.55273   8259.649
   25   18   43 -32009.80859   8488.237
   24   19   43 -36593.23828   8576.635
   23   20   43 -38408.64063   8600.659
   22   21   43 -36187.92969   8530.821
   21   22   43 -29321.10352   8352.933
   26   18   44 -32673.05273   8493.836
   25   19   44 -35809.60547   8547.340
   24   20   44 -41468.48047   8658.170
   23   21   44 -37816.09375   8557.381
   22   22   44 -37548.46094   8533.518
   27   18   45 -29770.58984   8419.947
   26   19   45 -36608.18750   8554.508
   25   20   45 -40811.94922   8630.540
   24   21   45 -41067.79297   8618.840
   23   22   45 -39005.73828   8555.631
   22   23   45 -31879.62891   8379.887
   28   18   46 -29720.12695   8411.271
   27   19   46 -35418.32422   8518.137
   26   20   46 -43135.07813   8668.885
   25   21   46 -41757.11328   8621.922
   24   22   46 -44123.42188   8656.356
   23   23   46 -37073.01172   8486.079
   22   24   46 -29473.74219   8303.870
   28   19   47 -35696.27344   8514.544
   27   20   47 -42340.12109   8639.257
   26   21   47 -44332.12109   8664.995
   25   22   47 -44932.39453   8661.121
   24   23   47 -42002.05078   8582.127
   23   24   47 -34558.38672   8407.106
   29   19   48 -32123.93555   8430.887
   28   20   48 -44214.12891   8666.467
   27   21   48 -44496.10156   8656.043
   26   22   48 -48487.72656   8722.903
   25   23   48 -44475.38672   8623.013
   24   24   48 -42819.17969   8572.210
   30   19   49 -30319.26563   8386.719
   29   20   49 -41289.26563   8594.630
   28   21   49 -46552.36719   8686.074
   27   22   49 -48558.80078   8711.055
   26   23   49 -47956.94141   8682.806
   25   24   49 -45330.48438   8613.239
   24   25   49 -37615.58594   8439.826
   30   20   50 -39570.83203   8549.795
   29   21   50 -44536.88672   8633.469
   28   22   50 -51426.67188   8755.618
   27   23   50 -49221.55469   8695.869
   26   24   50 -50259.50000   8700.981
   25   25   50 -42626.81250   8532.680
   24   26   50 -34475.53906   8354.008
   31   20   51 -35863.25000   8467.716
   30   21   51 -43218.18359   8596.590
   29   22   51 -49727.84766   8708.890
   28   23   51 -52201.38281   8742.051
   27   24   51 -51448.80859   8711.954
   26   25   51 -48241.33984   8633.723
   25   26   51 -40222.33984   8461.147
   30   22   52 -49464.83594   8691.571
   29   23   52 -51441.30859   8714.535
   28   24   52 -55416.93359   8775.944
   27   25   52 -50705.44531   8670.294
   26   26   52 -48331.61328   8609.598
   30   23   53 -51848.83984   8710.088
   29   24   53 -55284.74219   8760.155
   28   25   53 -54687.90234   8734.133
   27   26   53 -50945.32422   8648.757
   26   27   53 -42644.82422   8477.382
   31   23   54 -49890.95313   8662.002
   30   24   54 -56932.54688   8777.914
   29   25   54 -55555.37109   8737.923
   28   26   54 -56252.45703   8736.344
   27   27   54 -48009.53906   8569.209
   26   28   54 -39210.77734   8391.781
   31   24   55 -55107.49219   8731.884
   30   25   55 -57710.57813   8764.988
   29   26   55 -57479.36719   8746.560
   28   27   55 -54027.55859   8669.575
   27   28   55 -45335.57813   8497.315
   32   24   56 -55281.24609   8723.191
   31   25   56 -56909.71094   8738.300
   30   26   56 -60605.35156   8790.323
   29   27   56 -56039.35156   8694.817
   28   28   56 -53903.67578   8642.709
   33   24   57 -52524.14063   8663.384
   32   25   57 -57486.80078   8736.723
   31   26   57 -60180.12891   8770.249
   30   27   57 -59344.20313   8741.858
   29   28   57 -56081.96875   8670.901
   28   29   57 -47309.57422   8503.274
   33   25   58 -55906.82813   8698.010
   32   26   58 -62153.41797   8792.221
   31   27   58 -59845.86719   8738.947
   30   28   58 -60227.69531   8732.041
   29   29   58 -51662.05469   8570.869
   28   30   58 -42297.69531   8395.926
   34   25   59 -55479.56250   8680.146
   33   26   59 -60663.11328   8754.743
   32   27   59 -62228.41016   8768.013
   31   28   59 -61155.64844   8736.570
   30   29   59 -56357.22266   8641.981
   29   30   59 -47260.50000   8474.539
   35   25   60 -53177.83203   8631.637
   34   26   60 -61411.83203   8755.831
   33   27   60 -61649.01172   8746.745
   32   28   60 -64472.07813   8780.757
   31   29   60 -58344.09766   8665.585
   30   30   60 -54187.76953   8583.273
   35   26   61 -58921.39063   8703.782
   34   27   61 -62898.42188   8756.154
   33   28   61 -64220.89063   8765.009
   32   29   61 -61983.64063   8715.507
   31   30   61 -56345.48047   8610.253
   30   31   61 -47090.48047   8445.706
   36   26   62 -58900.75000   8693.248
   35   27   62 -61431.50391   8721.448
   34   28   62 -66746.09375   8794.549
   33   29   62 -62797.83594   8718.249
   32   30   62 -61171.42969   8679.398
   31   31   62 -52000.42969   8518.860
   36   27   63 -61840.38672   8717.619
   35   28   63 -65512.55469   8763.489
   34   29   63 -65579.53125   8752.134
   33   30   63 -62213.02344   8686.279
   32   31   63 -56547.09375   8583.926
   37   27   64 -59792.68750   8675.525
   36   28   64 -67099.27344   8777.467
   35   29   64 -65424.24219   8739.070
   34   30   64 -66003.59375   8735.898
   33   31   64 -58834.32813   8611.654
   32   32   64 -54349.88281   8529.361
   38   27   65 -59169.93359   8656.649
   37   28   65 -65126.05078   8736.246
   36   29   65 -67263.66406   8757.096
   35   30   65 -65911.60156   8724.259
   34   31   65 -62657.17188   8662.154
   38   28   66 -66006.28125   8739.508
   37   29   66 -66258.27344   8731.472
